ID	State FIP	County FIP 	Median Home Value	Median Home Value Margin of Error	Median Gross Rent	Median Gross Rent Margin of Error	Total Housing Units	Total Margin of Error	Total Occupied Housing Units	Occupied Margin of Error (percent)	Total Vacant Housing Units	Vacant Margin of Error (percent)	Latitude	Longitude
1461	28	117	122500	11115	637	38	11050	25	9595	272	1455	274	+34.6205664	-088.5221836
1462	28	119	69600	8846	672	50	3026	30	2643	104	383	94	+34.2528327	-090.2901707
1463	28	121	237400	5888	1270	59	64415	69	60133	619	4282	607	+32.2671233	-089.9460630
1464	28	123	106700	19649	888	75	11483	26	9686	392	1797	390	+32.4119595	-089.5334861
1465	28	125	98000	18223	623	79	1650	59	1422	96	228	72	+32.8923946	-090.8276129
1466	28	127	122200	8589	852	60	11694	59	9543	338	2151	325	+31.9025047	-089.9177086
1467	28	129	112600	13162	664	55	6714	34	5592	235	1122	231	+32.0190290	-089.4948763
1468	28	131	161100	11554	936	53	7670	20	6705	246	965	246	+30.7901840	-089.1122970
1469	28	133	100300	9349	694	79	9423	62	8034	228	1389	218	+33.6055289	-090.5950901
1470	28	135	82300	11290	732	71	5505	25	4306	208	1199	208	+33.9545292	-090.1722434
1471	28	137	209000	17518	963	97	11694	41	11018	299	676	300	+34.6495527	-089.9431054
1472	28	139	124100	13873	790	111	9959	46	8017	389	1942	387	+34.7636183	-088.9188185
1473	28	141	145100	14826	682	78	10577	25	8834	270	1743	268	+34.7388349	-088.2348272
1474	28	143	175900	39262	977	41	4812	23	3800	272	1012	271	+34.6522011	-090.3717697
1475	28	145	163400	11218	865	43	12250	24	9849	366	2401	364	+34.4895325	-089.0023393
1476	28	147	126600	28642	790	216	6917	44	5290	322	1627	318	+31.1644920	-090.1034306
1477	28	149	156400	13008	888	78	21566	25	16772	456	4794	457	+32.3560946	-090.8523838
1478	28	151	104000	7270	833	36	20867	39	17113	384	3754	380	+33.2731740	-090.9444459
1479	28	153	91100	8311	784	210	9143	17	7681	285	1462	284	+31.6425030	-088.6782140
1480	28	155	120100	11680	632	83	5114	18	4073	212	1041	216	+33.6120605	-089.2839612
1481	28	157	90000	9829	686	282	4608	43	3185	268	1423	271	+31.1610908	-091.3246169
1482	28	159	124600	14243	721	76	8231	22	7141	251	1090	251	+33.0787236	-089.0373913
1483	28	161	122300	24981	667	46	6504	25	4996	269	1508	267	+34.0306661	-089.7038072
1484	28	163	153800	18083	790	110	10485	139	8767	409	1718	369	+32.7656747	-090.3879282
1485	29	001	165700	10140	772	43	11389	36	9126	323	2263	319	+40.1906655	-092.6035922
1486	29	003	215400	17476	961	80	7558	35	6988	188	570	177	+39.9888628	-094.8035511
1487	29	005	106800	5805	631	54	2726	23	2287	87	439	88	+40.4318460	-095.4375546
1488	29	007	143100	10655	693	79	10561	37	9219	248	1342	246	+39.2144810	-091.8434182
1489	29	009	187800	14691	766	30	17063	35	13336	451	3727	454	+36.6993756	-093.8343344
1490	29	011	136500	28748	805	58	5285	26	4454	213	831	214	+37.5007989	-094.3440893
1491	29	013	170800	12266	786	73	7192	29	6158	169	1034	169	+38.2572171	-094.3392459
1492	29	015	177900	14266	773	55	13594	37	8573	303	5021	306	+38.3010358	-093.2879421
1493	29	017	179800	29070	694	85	5046	30	3941	180	1105	182	+37.3184272	-090.0246452
1494	29	019	272800	6516	1088	21	81675	134	76562	639	5113	647	+38.9898614	-092.3102022
1495	29	021	166300	4684	902	28	38472	48	33439	475	5033	471	+39.6603695	-094.8081728
1496	29	023	145100	7701	780	39	19303	32	16594	407	2709	406	+36.7151802	-090.4031300
1497	29	025	166500	9951	640	51	4275	27	3769	104	506	102	+39.6589977	-093.9791785
1498	29	027	201600	12197	887	44	18645	64	16485	462	2160	459	+38.8355470	-091.9234458
1499	29	029	305400	14706	876	40	40072	38	17925	548	22147	551	+38.0265039	-092.7653283
1500	29	031	220700	7640	881	37	36086	108	32454	482	3632	458	+37.3841408	-089.6856575
1501	29	033	117500	8685	822	31	4381	31	3522	154	859	152	+39.4273754	-093.5002266
1502	29	035	159400	22788	656	46	2676	20	2038	136	638	136	+36.9448579	-090.9457051
1503	29	037	292400	7874	1205	46	45834	71	43206	525	2628	511	+38.6464737	-094.3545467
1504	29	039	168100	16694	767	81	6946	58	5773	237	1173	262	+37.7336549	-093.8500144
1505	29	041	160900	14858	567	77	3788	21	2681	127	1107	124	+39.5179685	-092.9616205
1506	29	043	274900	7974	1058	49	36643	44	35142	401	1501	395	+36.9697388	-093.1876139
1507	29	045	130700	21302	612	97	3233	24	2423	103	810	103	+40.4072747	-091.7294720
1508	29	047	275600	4758	1243	32	107719	89	102171	719	5548	731	+39.3155512	-094.4215024
1509	29	049	226800	11202	1008	69	9077	46	8329	253	748	250	+39.6087233	-094.3958028
1510	29	051	229600	6798	834	25	33533	49	31086	329	2447	327	+38.5032331	-092.2800271
1511	29	053	203500	8374	782	47	7300	50	6246	182	1054	182	+38.8470929	-092.8100688
1512	29	055	172600	13265	795	55	11416	34	9580	262	1836	262	+37.9665593	-091.3139358
1513	29	057	170600	12280	683	40	3774	23	3057	118	717	120	+37.4323495	-093.8548780
1514	29	059	190300	16362	642	51	7613	19	6768	263	845	264	+37.6835825	-093.0338146
1515	29	061	161800	15560	696	58	4122	26	3020	114	1102	115	+39.9628387	-093.9700530
1516	29	063	169200	13541	817	82	4270	755	3732	767	538	146	+39.8946645	-094.4071901
1517	29	065	167500	13322	660	118	6822	25	5618	255	1204	255	+37.6030721	-091.4897172
1518	29	067	168200	11689	700	115	5391	16	4654	170	737	168	+36.9465168	-092.5158918
1519	29	069	97600	5381	648	30	13447	39	11257	268	2190	262	+36.1530246	-090.0622538
1520	29	071	227600	5671	893	26	46312	99	43036	493	3276	482	+38.4130031	-091.0728320
1521	29	073	179900	15252	743	78	7574	47	6061	214	1513	205	+38.4411826	-091.5057795
1522	29	075	134000	14614	636	59	2923	19	2426	83	497	83	+40.2081271	-094.4053211
1523	29	077	221300	4032	989	12	138982	113	130951	851	8031	837	+37.2581957	-093.3406409
1524	29	079	112500	10773	696	72	4834	24	3907	184	927	181	+40.1125409	-093.5650538
1525	29	081	109500	8784	703	73	4008	25	3195	142	813	139	+40.3456200	-093.9925818
1526	29	083	160600	7732	768	50	10714	29	9217	277	1497	275	+38.3864909	-093.7926278
1527	29	085	176100	20787	648	122	5480	22	3601	177	1879	175	+37.9369099	-093.3229883
1528	29	087	138200	24271	650	72	2405	31	1744	77	661	70	+40.0957240	-095.2190716
1529	29	089	159400	12253	832	76	4374	29	3585	124	789	119	+39.1433650	-092.6959255
1530	29	091	173000	9304	733	44	18149	62	15965	235	2184	240	+36.7743685	-091.8873677
1531	29	093	119300	6146	664	52	4682	26	3861	137	821	134	+37.6259709	-090.6995869
1532	29	095	230500	2428	1197	12	336288	202	306798	1461	29490	1413	+39.0053640	-094.3432105
1533	29	097	166900	3851	973	27	54480	51	49489	528	4991	540	+37.2051967	-094.3372594
1534	29	099	237200	3773	979	20	93955	84	88309	678	5646	667	+38.2576296	-090.5436807
1535	29	101	235700	8522	932	33	22731	46	21087	318	1644	317	+38.7415280	-093.8118634
1536	29	103	101400	15911	666	21	1937	18	1288	81	649	78	+40.1368559	-092.1468345
1537	29	105	168400	7928	809	52	16012	32	14558	347	1454	338	+37.6596977	-092.5948430
1538	29	107	216500	12051	928	41	14221	60	12576	358	1645	347	+39.0687048	-093.8026388
1539	29	109	175100	12361	800	57	16303	39	14602	339	1701	332	+37.1066109	-093.8305422
1540	29	111	130200	13476	644	68	4320	29	3185	143	1135	147	+40.0845592	-091.7288031
1541	29	113	244300	10022	961	46	23790	86	22817	265	973	237	+39.0622547	-090.9629165
1542	29	115	123300	12999	620	103	5988	24	4801	175	1187	176	+39.8644404	-093.1080190
1543	29	117	147700	13173	768	77	6399	66	5608	192	791	189	+39.7785870	-093.5482013
1544	29	119	154700	15878	767	62	9828	28	8558	212	1270	213	+36.6279546	-094.3437164
1545	29	121	149100	9371	672	39	7419	32	6067	200	1352	200	+39.8297950	-092.5643400
1546	29	123	159000	9436	808	68	5866	18	4683	239	1183	236	+37.4744807	-090.3434128
1547	29	125	219100	30356	590	37	4261	21	3428	197	833	193	+38.1626154	-091.9236010
1548	29	127	162000	7169	808	47	12917	39	11323	267	1594	264	+39.8075383	-091.6353791
1549	29	129	104900	15308	590	150	1902	20	1302	85	600	86	+40.4214135	-093.5676313
1550	29	131	192600	15880	763	35	12541	37	9857	285	2684	272	+38.2166802	-092.4298762
1551	29	133	109000	8462	762	80	5272	27	4482	158	790	154	+36.8262640	-089.2959286
1552	29	135	181900	12902	735	60	6175	25	5729	127	446	121	+38.6330371	-092.5836417
1553	29	137	149300	15919	689	32	4467	22	3468	138	999	141	+39.4982695	-092.0064582
1554	29	139	178700	13995	788	35	5832	28	4640	199	1192	198	+38.9351835	-091.4654270
1555	29	141	194400	20014	721	61	15176	31	8699	334	6477	337	+38.4208062	-092.8748346
1556	29	143	111800	8297	729	26	7876	41	6695	249	1181	248	+36.5942608	-089.6559485
1557	29	145	190700	12568	817	39	24866	55	22129	345	2737	340	+36.9083713	-094.3350340
1558	29	147	177500	14896	786	42	9536	48	8460	201	1076	199	+40.3611359	-094.8831457
1559	29	149	113300	16224	639	49	4321	21	3380	179	941	176	+36.6853104	-091.4018272
1560	29	151	223300	16356	639	77	6501	27	5287	189	1214	196	+38.4642535	-091.8595036
1561	29	153	168600	12724	631	59	5030	20	3709	156	1321	155	+36.6495904	-092.4585492
1562	29	155	97000	7044	695	39	7501	26	6333	203	1168	202	+36.2099162	-089.7859419
1563	29	157	188200	8182	923	44	8552	50	7525	184	1027	183	+37.7111296	-089.8021249
1564	29	159	166300	6260	885	35	18673	32	16996	294	1677	293	+38.7273880	-093.2851901
1565	29	161	206500	10558	798	27	20295	39	17329	427	2966	426	+37.8663263	-091.7903492
1566	29	163	146000	21740	778	27	7620	28	6424	228	1196	226	+39.3399592	-091.1716071
1567	29	165	345100	8630	1334	39	46606	73	43902	480	2704	466	+39.3786901	-094.7614764
1568	29	167	205800	12213	814	53	13482	86	12059	295	1423	307	+37.6167611	-093.4008166
1569	29	169	189800	13331	1112	44	19431	66	16851	445	2580	436	+37.8248346	-092.2070224
1570	29	171	119500	14601	521	96	2834	14	1791	148	1043	149	+40.4786055	-093.0145314
1571	29	173	168200	13012	749	46	5056	36	3970	173	1086	168	+39.5534554	-091.5247867
1572	29	175	159300	7534	760	53	10862	36	9247	243	1615	240	+39.4392486	-092.4929595
1573	29	177	198800	13993	782	74	9931	43	9116	171	815	171	+39.3084005	-093.9957462
1574	29	179	151700	26351	655	46	3461	19	2335	147	1126	143	+37.3664637	-090.9722821
1575	29	181	119600	12411	654	56	5168	46	4002	208	1166	208	+36.6501703	-090.8748340
1576	29	183	320800	3551	1370	21	167163	126	161311	694	5852	687	+38.7811023	-090.6749153
1577	29	185	157100	9713	622	71	5290	30	4071	180	1219	178	+38.0422304	-093.7765602
1578	29	186	222200	12859	780	42	8326	23	7137	232	1189	232	+37.8858449	-090.1615306
1579	29	187	169300	5710	794	24	28945	58	24816	445	4129	443	+37.8107068	-090.4738684
1580	29	189	276800	2745	1209	12	446192	189	413849	1712	32343	1744	+38.6406881	-090.4460731
1581	29	195	150500	8017	739	38	9813	48	8053	245	1760	239	+39.1358403	-093.2041639
1582	29	197	137500	32618	382	36	1899	22	1307	80	592	79	+40.4693611	-092.5190156
1583	29	199	158800	25058	511	53	2201	29	1550	98	651	92	+40.4476855	-092.1428235
1584	29	201	154400	5696	873	39	16861	35	15327	300	1534	293	+37.0477927	-089.5680975
1585	29	203	157500	16217	574	123	3517	24	2882	154	635	151	+37.1524984	-091.3913284
1586	29	205	99900	13404	625	64	2950	23	2391	111	559	109	+39.7975309	-092.0887194
1587	29	207	143300	9211	760	38	13400	34	11585	244	1815	247	+36.8515565	-089.9474812
1588	29	209	249000	13766	896	62	20464	34	13530	458	6934	457	+36.7458225	-093.4578424
1589	29	211	115600	20332	673	51	3010	27	2040	123	970	116	+40.2095870	-093.1097826
1590	29	213	218800	7933	926	36	30175	57	22788	496	7387	499	+36.6498267	-093.0428188
1591	29	215	146700	18419	665	39	11006	42	9503	289	1503	283	+37.3142565	-091.9644783
1592	29	217	158800	8409	734	55	8928	55	7754	239	1174	227	+37.8501957	-094.3415972
1593	29	219	260400	11232	995	130	16161	48	13845	329	2316	327	+38.7619020	-091.1593065
1594	29	221	129400	14590	684	121	10734	32	8920	359	1814	358	+37.9426107	-090.8970179
1595	29	223	107400	11308	665	37	6119	35	4623	296	1496	291	+37.1110737	-090.4539307
1596	29	225	228800	11559	789	76	15493	31	13964	334	1529	332	+37.2808043	-092.8760795
1597	29	227	96600	8137	381	64	1116	14	847	63	269	61	+40.4804994	-094.4191982
1598	29	229	160100	27391	625	107	8367	46	7187	263	1180	257	+37.2676331	-092.4799890
1599	29	510	197500	6302	997	15	174111	132	144891	1211	29220	1197	+38.6356988	-090.2445816
1600	30	001	308300	24970	837	43	4981	32	4201	182	780	178	+45.1338633	-112.8928694
1601	30	003	143400	14230	697	99	4527	19	3827	105	700	105	+45.4078679	-107.5181619
1602	30	005	155500	14647	660	75	2823	22	2280	101	543	102	+48.4282823	-108.9676475
1603	30	007	426600	56184	955	130	3178	20	2822	131	356	132	+46.3298486	-111.4978728
1604	30	009	420800	24845	844	113	6455	3312	4664	3324	1791	221	+45.2244683	-109.0285543
1605	30	011	199200	43304	824	70	829	57	600	63	229	49	+45.5168247	-104.5153243
1606	30	013	265300	7950	939	28	39497	67	35615	397	3882	401	+47.3165751	-111.3502622
1607	30	015	207800	28387	536	101	2885	37	2159	103	726	99	+47.8868343	-110.4362004
1608	30	017	219100	8904	893	101	5784	24	5038	151	746	151	+46.2614136	-105.5503521
1609	30	019	184800	11350	581	116	1131	75	734	82	397	76	+48.7944290	-105.5417385
1610	30	021	185300	13075	815	120	4381	25	3615	215	766	215	+47.2661301	-104.8982713
1611	30	023	231700	14736	696	60	5540	31	4473	221	1067	219	+46.0946716	-113.1416236
1612	30	025	244800	28041	779	54	1483	86	1178	96	305	94	+46.3181841	-104.4057182
1613	30	027	236100	24690	954	87	6012	61	5303	195	709	183	+47.2218156	-109.2329562
1614	30	029	535500	17031	1142	42	51680	69	44233	567	7447	555	+48.2954221	-114.0520587
1615	30	031	667600	15234	1694	60	57568	62	51215	510	6353	512	+45.5180536	-111.1639214
1616	30	033	169900	16798	725	219	730	55	432	61	298	36	+47.2671843	-106.9959912
1617	30	035	165100	13645	548	107	5350	38	4291	173	1059	173	+48.7056706	-112.9905023
1618	30	037	212200	36694	783	206	482	44	376	47	106	36	+46.3806243	-109.1745855
1619	30	039	352700	27252	675	145	2602	14	1514	144	1088	146	+46.3959554	-113.4273564
1620	30	041	202600	16603	776	57	7234	27	6206	205	1028	202	+48.6319595	-110.1063210
1621	30	043	446900	22371	925	58	5407	27	4996	136	411	136	+46.1242317	-112.0594284
1622	30	045	238300	19666	495	100	1261	69	918	61	343	64	+47.0325580	-110.3053200
1623	30	047	421800	19570	901	42	16468	35	12576	252	3892	251	+47.6429007	-114.0836866
1624	30	049	393500	9364	1102	46	34082	56	31215	362	2867	351	+47.1221055	-112.3828900
1625	30	051	169100	33402	710	185	837	89	724	94	113	37	+48.5596541	-111.0369242
1626	30	053	296500	22213	762	90	11006	29	9082	263	1924	264	+48.5523847	-115.4631849
1627	30	055	211600	16503	556	56	1082	74	798	89	284	51	+47.6296277	-105.7572220
1628	30	057	470100	34219	1000	277	6396	35	3740	194	2656	185	+45.3252895	-111.9137914
1629	30	059	259800	62115	1263	264	1450	84	927	85	523	100	+46.5856996	-110.9217396
1630	30	061	364300	24903	801	127	2572	16	2150	102	422	98	+47.1296868	-115.0853849
1631	30	063	472100	10711	1190	32	56930	65	52679	618	4251	613	+47.0272632	-113.8926911
1632	30	065	235000	20782	1138	614	2663	83	2148	139	515	121	+46.5052807	-108.4397631
1633	30	067	467500	21633	976	84	9635	42	8366	218	1269	219	+45.4630812	-110.5349297
1634	30	069	201400	49436	800	227	311	61	221	54	90	35	+47.1419168	-108.2265753
1635	30	071	197600	44618	536	183	2233	15	1765	102	468	100	+48.2501432	-107.9288973
1636	30	073	206100	21406	784	117	2754	29	2268	106	486	100	+48.2286037	-112.2207612
1637	30	075	192100	44516	533	80	972	58	708	69	264	58	+45.4089262	-105.5553440
1638	30	077	306500	60519	820	85	3006	34	2432	130	574	127	+46.8442254	-112.9310998
1639	30	079	165700	21768	627	299	687	69	545	69	142	45	+46.8123882	-105.5039383
1640	30	081	476600	18040	1054	66	21179	32	18661	447	2518	447	+46.0777441	-114.1057950
1641	30	083	263000	20691	917	58	5610	33	4422	268	1188	271	+47.7856330	-104.5634082
1642	30	085	118800	11921	705	70	4066	21	3091	89	975	88	+48.2827471	-104.9951698
1643	30	087	182400	30038	672	48	3779	24	3070	134	709	137	+46.1732061	-106.6667917
1644	30	089	359000	20498	820	54	6808	36	5451	203	1357	202	+47.7564968	-115.1803062
1645	30	091	124000	20717	746	60	2041	78	1476	100	565	106	+48.7055868	-104.5339164
1646	30	093	255200	14456	863	78	17499	52	15419	302	2080	301	+45.8962319	-112.6600714
1647	30	095	405800	23525	961	47	4657	23	3810	136	847	132	+45.6585447	-109.3815759
1648	30	097	330100	29060	1149	103	1900	93	1552	93	348	76	+45.8112917	-109.9447960
1649	30	099	264000	22388	730	76	2945	35	2469	94	476	91	+47.8190352	-112.2817249
1650	30	101	218400	34702	826	162	2322	33	1852	115	470	114	+48.6451246	-111.7334723
1651	30	103	230300	34466	850	509	460	62	360	61	100	36	+46.2271129	-107.2752957
1652	30	105	198400	31845	767	153	4254	57	2951	161	1303	159	+48.3498496	-106.6704238
1653	30	107	180800	19845	730	62	1161	80	883	76	278	60	+46.4969673	-109.8576843
1654	30	109	98600	5670	963	163	595	65	461	56	134	61	+46.9629657	-104.2745184
1655	30	111	349500	5510	1131	37	74239	78	69897	695	4342	685	+45.9369867	-108.2766564
1656	31	001	193100	11184	857	49	13934	34	13076	212	858	208	+40.5206322	-098.5000441
1657	31	003	130300	22098	692	77	3149	23	2636	83	513	83	+42.1832253	-098.0580367
1658	31	005	185900	58453	750	204	232	40	185	34	47	23	+41.5719297	-101.6959166
1659	31	007	205700	73766	975	139	383	53	305	47	78	33	+41.5397495	-103.7262626
1660	31	009	116900	32743	873	61	301	41	197	37	104	31	+41.9319450	-099.9964074
1661	31	011	173700	15242	850	144	2555	17	2191	92	364	93	+41.7039345	-098.0704764
1662	31	013	166600	12864	752	174	5212	25	4505	182	707	189	+42.2103804	-103.0817795
1663	31	015	104000	17323	713	104	1203	56	744	70	459	59	+42.8944477	-098.7730221
1664	31	017	113900	17597	876	137	1656	54	1275	80	381	78	+42.3595618	-099.9239198
1665	31	019	246400	7017	936	28	21286	74	19984	267	1302	249	+40.8552654	-099.0749839
1666	31	021	147000	19334	708	86	3333	26	2929	108	404	102	+41.8541794	-096.3377462
1667	31	023	184200	26273	776	32	4039	39	3524	147	515	143	+41.2260545	-097.1320028
1668	31	025	254900	11560	996	64	11875	43	10832	207	1043	198	+40.9098778	-096.1406086
1669	31	027	185000	16679	716	52	3899	31	3444	82	455	79	+42.6045604	-097.2568696
1670	31	029	165900	12538	800	172	1870	65	1476	107	394	100	+40.5303903	-101.6941918
1671	31	031	152200	16955	916	92	3009	20	2233	150	776	150	+42.5713230	-101.0476532
1672	31	033	139700	11831	821	51	4888	29	4464	119	424	115	+41.2142358	-103.0119289
1673	31	035	155600	7573	645	105	2817	38	2490	91	327	81	+40.5236693	-098.0508585
1674	31	037	144700	28249	980	80	3997	24	3707	74	290	71	+41.5749600	-097.0889449
1675	31	039	178800	16446	789	43	4153	21	3807	114	346	113	+41.9158651	-096.7885168
1676	31	041	157800	10494	853	47	5334	31	4502	159	832	159	+41.3938927	-099.7268662
1677	31	043	185700	14209	1069	81	7808	23	7459	146	349	143	+42.3916244	-096.5613270
1678	31	045	150900	44669	900	191	4037	21	3453	216	584	216	+42.7130379	-103.1354358
1679	31	047	166200	6735	925	29	9958	37	9145	180	813	171	+40.8678400	-099.8155833
1680	31	049	100200	12450	872	133	1013	64	837	75	176	48	+41.1119026	-102.3326090
1681	31	051	155900	14222	689	39	2515	30	2188	88	327	86	+42.4850864	-096.8557845
1682	31	053	208600	8575	1060	43	16725	44	15168	319	1557	309	+41.5770082	-096.6458524
1683	31	055	266100	2591	1201	13	251553	137	238430	938	13123	929	+41.2970908	-096.1540664
1684	31	057	143400	39879	656	279	995	70	779	75	216	71	+40.1801650	-101.6811327
1685	31	059	151000	10781	716	54	2724	25	2357	91	367	89	+40.5250399	-097.5967053
1686	31	061	95600	8808	691	91	1531	18	1293	52	238	53	+40.1832031	-098.9620800
1687	31	063	149800	14091	666	91	1350	45	1074	72	276	57	+40.5309469	-100.4066834
1688	31	065	98400	10206	763	119	2516	20	2010	91	506	88	+40.1922523	-099.9086366
1689	31	067	174000	9051	774	58	10399	54	9327	205	1072	200	+40.2552337	-096.6834528
1690	31	069	110400	16438	700	128	1173	63	858	90	315	74	+41.6333638	-102.3029845
1691	31	071	176600	31246	490	58	990	44	701	71	289	60	+41.9069119	-098.9512834
1692	31	073	228500	55813	664	109	1212	84	836	84	376	83	+40.5090947	-099.8232058
1693	31	075	136700	34052	867	214	407	46	284	50	123	31	+41.9139574	-101.7559645
1694	31	077	120000	14333	613	46	1215	39	958	58	257	56	+41.5675626	-098.5305674
1695	31	079	224600	5765	943	35	25569	69	24587	266	982	250	+40.8660265	-098.5026645
1696	31	081	253700	22430	794	185	4133	32	3628	155	505	148	+40.8728173	-098.0223294
1697	31	083	145800	11811	657	35	1884	97	1197	100	687	72	+40.1787663	-099.4034177
1698	31	085	128100	50832	508	140	487	47	377	49	110	31	+40.5372337	-101.0479627
1699	31	087	96700	7058	714	98	1561	26	1111	71	450	65	+40.1768964	-101.0442170
1700	31	089	165100	10589	714	26	4900	23	4050	127	850	127	+42.4592867	-098.7847662
1701	31	091	93800	25124	592	41	428	38	327	40	101	30	+41.9203170	-101.1173240
1702	31	093	209100	18825	777	115	2894	21	2504	108	390	102	+41.2168513	-098.5133417
1703	31	095	129500	19700	662	45	3679	30	3136	138	543	136	+40.1757356	-097.1431027
1704	31	097	155500	28027	779	109	2098	37	1708	92	390	86	+40.3949552	-096.2652638
1705	31	099	223400	11096	857	69	2988	21	2814	86	174	81	+40.5091198	-098.9476019
1706	31	101	168000	9882	771	52	5435	36	4051	149	1384	165	+41.1942448	-101.6444493
1707	31	103	108800	13667	875	82	489	43	302	41	187	37	+42.8754803	-099.7183514
1708	31	105	109400	11595	846	76	1782	74	1489	93	293	88	+41.1992736	-103.7031528
1709	31	107	127700	13474	647	77	4521	51	3422	118	1099	109	+42.6344045	-097.8913492
1710	31	109	275200	3244	1085	19	140324	140	134126	753	6198	743	+40.7835474	-096.6886584
1711	31	111	189500	7482	900	44	16624	104	14890	264	1734	309	+41.0503221	-100.7444808
1712	31	113	175000	95387	761	179	330	40	299	38	31	19	+41.5421555	-100.4436647
1713	31	115	182300	76428	688	366	435	37	244	40	191	39	+41.8982036	-099.5145248
1714	31	117	121600	26840	588	35	268	52	212	54	56	24	+41.6484137	-101.1208507
1715	31	119	208500	9009	881	35	15510	46	14462	224	1048	217	+41.9099293	-097.6068564
1716	31	121	175900	10564	750	110	3598	24	3205	127	393	123	+41.1697896	-098.0310573
1717	31	123	116100	12653	768	56	2271	22	1918	92	353	92	+41.7322039	-102.9905936
1718	31	125	132000	22590	807	53	1606	18	1342	61	264	57	+41.4023855	-097.9914083
1719	31	127	131700	16711	772	189	3316	33	2847	137	469	139	+40.3872382	-095.8524609
1720	31	129	96500	12478	585	154	2220	24	1919	89	301	89	+40.1764918	-098.0468422
1721	31	131	201600	14272	914	58	6999	32	6383	187	616	181	+40.6379916	-096.1310274
1722	31	133	79400	13858	706	51	1409	24	1090	65	319	63	+40.1377971	-096.2452136
1723	31	135	157200	13832	922	80	1359	19	1192	62	167	61	+40.8576240	-101.6274698
1724	31	137	194900	13558	815	49	4170	19	3916	103	254	104	+40.5163647	-099.4065568
1725	31	139	196000	17306	884	47	3136	27	2842	85	294	79	+42.2714129	-097.6109917
1726	31	141	223900	7772	897	67	14325	31	13658	221	667	220	+41.5768655	-097.5134673
1727	31	143	189900	19302	681	140	2531	20	2114	92	417	90	+41.1879253	-097.5706627
1728	31	145	159600	13611	819	98	5150	19	4504	217	646	217	+40.1694196	-100.4685764
1729	31	147	100300	12870	691	28	4073	27	3554	125	519	125	+40.1237427	-095.7186026
1730	31	149	117500	37637	644	42	809	53	600	53	209	57	+42.3947490	-099.4208512
1731	31	151	197400	15953	914	96	5799	29	5143	203	656	197	+40.5168024	-097.1317550
1732	31	153	314100	5510	1334	28	76780	74	74097	490	2683	490	+41.1150635	-096.1091254
1733	31	155	271700	10924	960	103	10276	41	8899	249	1377	244	+41.2229664	-096.6426965
1734	31	157	168500	9154	909	39	16480	33	15078	275	1402	270	+41.8505060	-103.7030213
1735	31	159	241300	11476	980	73	7206	55	6788	154	418	140	+40.8719439	-097.1403830
1736	31	161	113400	10384	738	68	2704	26	2108	97	596	98	+42.5122888	-102.3682795
1737	31	163	152000	15292	818	173	1796	23	1325	91	471	84	+41.2187425	-098.9728492
1738	31	165	99300	49604	745	49	687	57	490	57	197	49	+42.4706681	-103.7321705
1739	31	167	195400	13960	902	124	2483	28	2313	70	170	67	+41.9050454	-097.1771094
1740	31	169	122800	11443	766	41	2497	30	2087	75	410	68	+40.1734197	-097.5962581
1741	31	171	109200	32523	638	190	357	37	304	38	53	20	+41.8557296	-100.5247028
1742	31	173	114600	11639	699	45	2290	23	1990	42	300	37	+42.1540613	-096.5339428
1743	31	175	154600	26507	626	31	2108	46	1796	107	312	94	+41.5640938	-098.9834841
1744	31	177	297600	19635	965	58	8711	31	8429	182	282	173	+41.5339726	-096.2245771
1745	31	179	221600	18011	800	58	3991	38	3753	105	238	99	+42.2107460	-097.1262433
1746	31	181	117600	7888	647	199	1764	66	1493	89	271	63	+40.1806461	-098.4985897
1747	31	183	146500	31557	509	59	588	44	359	40	229	32	+41.9225747	-098.5208533
1748	31	185	189400	13181	877	82	6370	60	5712	181	658	178	+40.8730557	-097.5967418
1749	32	001	329900	22952	1319	140	11008	46	9516	323	1492	308	+39.5377097	-118.2641661
1750	32	003	431000	1706	1626	11	948995	320	862518	2566	86477	2444	+36.2141295	-115.0143977
1751	32	005	615400	19346	1593	85	24825	49	21325	375	3500	369	+38.9051292	-119.6090191
1752	32	007	301400	12999	1164	67	22177	42	19627	348	2550	350	+41.1411327	-115.3514239
1753	32	009	108900	25405	1320	769	690	134	503	140	187	50	+37.7789658	-117.6323824
1754	32	011	82600	77687	969	284	976	168	622	144	354	110	+39.9777878	-116.2722082
1755	32	013	278300	23448	994	120	7768	17	6911	214	857	210	+41.4079136	-118.1275915
1756	32	015	213800	47410	902	148	2739	291	2129	240	610	209	+39.9002105	-117.0472398
1757	32	017	219500	27169	919	155	2471	216	1717	176	754	148	+37.6346050	-114.8630367
1758	32	019	366100	9166	1326	126	25436	44	23745	381	1691	381	+39.0222125	-119.1974246
1759	32	021	156200	45032	905	165	2281	241	1830	227	451	134	+38.5166470	-118.4162794
1760	32	023	290900	12275	1181	139	25289	35	22175	438	3114	437	+37.9658636	-116.4590107
1761	32	027	179500	46972	715	84	2297	22	1736	177	561	177	+40.4396390	-118.4094765
1762	32	029	426400	48010	1153	701	2038	197	1892	189	146	113	+39.4383853	-119.5246462
1763	32	031	539900	6616	1608	25	218165	218	199296	1231	18869	1172	+40.7313196	-119.6632695
1764	32	033	220000	21101	937	142	4160	39	3359	206	801	197	+39.4181759	-114.9005649
1765	32	510	453000	11997	1248	61	25156	88	23692	385	1464	358	+39.1530598	-119.7473681
