ID	State FIP	County FIP 	Median Home Value	Median Home Value Margin of Error	Median Gross Rent	Median Gross Rent Margin of Error	Total Housing Units	Total Margin of Error	Total Occupied Housing Units	Occupied Margin of Error (percent)	Total Vacant Housing Units	Vacant Margin of Error (percent)	Latitude	Longitude
1056	21	123	183500	13616	860	99	6573	21	5996	191	577	190	+37.5444624	-085.6968413
1057	21	125	159500	6127	813	32	26818	67	23996	471	2822	461	+37.1132678	-084.1193950
1058	21	127	111700	6345	760	38	7604	26	6342	237	1262	241	+38.0744531	-082.7382903
1059	21	129	83900	7275	603	64	3229	21	2595	144	634	140	+37.6081160	-083.7192475
1060	21	131	69000	14026	585	149	4925	23	4231	225	694	227	+37.0878462	-083.3886172
1061	21	133	67400	8633	669	47	10603	31	8463	267	2140	265	+37.1185357	-082.8612507
1062	21	135	96000	5494	751	118	6066	23	5019	204	1047	206	+38.5350468	-083.3701427
1063	21	137	147300	12715	698	33	10938	26	9705	271	1233	272	+37.4571737	-084.6583354
1064	21	139	125600	23731	926	91	4640	48	3603	214	1037	216	+37.2095174	-088.3634261
1065	21	141	164900	10534	751	76	12473	25	11005	381	1468	381	+36.8596070	-086.8812881
1066	21	143	189500	15533	747	113	4847	55	3419	213	1428	206	+37.0239759	-088.0833909
1067	21	145	188100	8553	898	40	32280	52	27601	591	4679	591	+37.0541106	-088.7124544
1068	21	147	85300	10151	577	92	6920	39	5861	261	1059	264	+36.7311363	-084.4910515
1069	21	149	148500	16588	641	45	4173	20	3641	141	532	141	+37.5267075	-087.2655972
1070	21	151	232000	6709	889	26	40456	80	37051	519	3405	508	+37.7255107	-084.2783618
1071	21	153	89000	11866	730	44	5489	19	4734	204	755	206	+37.6989830	-083.0697210
1072	21	155	168100	6693	726	42	8477	60	7724	188	753	182	+37.5526040	-085.2689592
1073	21	157	173800	13742	798	58	16572	32	13209	432	3363	435	+36.8820170	-088.3327524
1074	21	159	86900	12355	450	139	4862	35	3854	268	1008	268	+37.7967740	-082.5066231
1075	21	161	161500	18146	727	51	8190	27	7131	241	1059	237	+38.5941366	-083.8281251
1076	21	163	207900	13511	1026	63	12237	33	11007	321	1230	315	+37.9674757	-086.2008628
1077	21	165	125800	12452	675	48	3367	161	2478	175	889	177	+37.9354855	-083.5893550
1078	21	167	202300	16526	831	77	10472	32	9181	258	1291	257	+37.8120852	-084.8796946
1079	21	169	110200	8270	582	73	4735	14	4100	181	635	180	+36.9924298	-085.6334564
1080	21	171	115900	10537	657	70	5279	46	4645	145	634	139	+36.7140770	-085.7135080
1081	21	173	172200	11202	830	41	12231	39	11005	311	1226	298	+38.0381086	-083.9124157
1082	21	175	118200	10817	663	83	5685	45	4882	174	803	160	+37.9229402	-083.2589444
